country,iso2,rank,highway_tag,interpretation,ways,maxspeed_tagged,maxspeed_share_pct
Belarus,BY,23,motorway,Controlled-access motorway corridor.,1711,1711,100.0000
Belarus,BY,23,motorway_link,Motorway ramps/connectors.,595,380,63.8655
Belarus,BY,23,trunk,Major non-motorway long-distance routes.,9791,9190,93.8617
Belarus,BY,23,trunk_link,Connector ramps between trunk and other classes.,3577,1546,43.2206
Belarus,BY,23,primary_link,Connector ramps related to primary roads.,1847,1053,57.0114
Belarus,BY,23,secondary_link,Connector ramps related to secondary roads.,491,204,41.5479
Belarus,BY,23,tertiary_link,Connector ramps related to tertiary roads.,411,100,24.3309
Belarus,BY,23,road,Temporary placeholder until precise class is surveyed.,2,0,0.0000
Croatia,HR,24,service,"Access roads to premises, parking, and service areas.",122033,2044,1.6750
Croatia,HR,24,residential,Roads primarily serving housing areas.,85447,4800,5.6175
Croatia,HR,24,secondary,Secondary inter-settlement connectors in the network hierarchy.,21370,13726,64.2302
Croatia,HR,24,tertiary,Tertiary connectors between local centers.,13175,2640,20.0380
Croatia,HR,24,unclassified,Minor public through roads (not unknown class).,25585,1352,5.2843
Croatia,HR,24,primary,Primary roads with high network importance below trunk/motorway.,19160,14840,77.4530
Croatia,HR,24,living_street,Traffic-calmed shared street.,796,55,6.9095
Croatia,HR,24,motorway,Controlled-access motorway corridor.,4238,3894,91.8830
Croatia,HR,24,motorway_link,Motorway ramps/connectors.,2490,1531,61.4859
Croatia,HR,24,trunk,Major non-motorway long-distance routes.,1334,1016,76.1619
Croatia,HR,24,trunk_link,Connector ramps between trunk and other classes.,734,359,48.9101
Croatia,HR,24,primary_link,Connector ramps related to primary roads.,1149,633,55.0914
Croatia,HR,24,secondary_link,Connector ramps related to secondary roads.,917,399,43.5115
Croatia,HR,24,tertiary_link,Connector ramps related to tertiary roads.,393,52,13.2316
Croatia,HR,24,road,Temporary placeholder until precise class is surveyed.,139,1,0.7194
Norway,NO,25,service,"Access roads to premises, parking, and service areas.",844999,18938,2.2412
Norway,NO,25,residential,Roads primarily serving housing areas.,150747,44257,29.3585
Norway,NO,25,secondary,Secondary inter-settlement connectors in the network hierarchy.,43125,42281,98.0429
Norway,NO,25,tertiary,Tertiary connectors between local centers.,16653,9126,54.8009
Norway,NO,25,unclassified,Minor public through roads (not unknown class).,84289,10579,12.5509
Norway,NO,25,primary,Primary roads with high network importance below trunk/motorway.,34923,34528,98.8689
Norway,NO,25,living_street,Traffic-calmed shared street.,3105,328,10.5636
Norway,NO,25,motorway,Controlled-access motorway corridor.,3098,3094,99.8709
Norway,NO,25,motorway_link,Motorway ramps/connectors.,1181,1013,85.7748
Norway,NO,25,trunk,Major non-motorway long-distance routes.,22486,22189,98.6792
Norway,NO,25,trunk_link,Connector ramps between trunk and other classes.,2635,2227,84.5161
Norway,NO,25,primary_link,Connector ramps related to primary roads.,402,379,94.2786
Norway,NO,25,secondary_link,Connector ramps related to secondary roads.,101,89,88.1188
Norway,NO,25,tertiary_link,Connector ramps related to tertiary roads.,68,30,44.1176
Norway,NO,25,road,Temporary placeholder until precise class is surveyed.,71,2,2.8169
Poland,PL,26,service,"Access roads to premises, parking, and service areas.",1785156,33083,1.8532
Poland,PL,26,residential,Roads primarily serving housing areas.,597517,97638,16.3406
Poland,PL,26,secondary,Secondary inter-settlement connectors in the network hierarchy.,114394,83882,73.3273
Poland,PL,26,tertiary,Tertiary connectors between local centers.,217792,113271,52.0088
Poland,PL,26,unclassified,Minor public through roads (not unknown class).,141921,19484,13.7288
Poland,PL,26,primary,Primary roads with high network importance below trunk/motorway.,66314,55762,84.0878
Poland,PL,26,living_street,Traffic-calmed shared street.,54301,20901,38.4910
Poland,PL,26,motorway,Controlled-access motorway corridor.,20679,20613,99.6808
Poland,PL,26,motorway_link,Motorway ramps/connectors.,10428,7303,70.0326
Poland,PL,26,trunk,Major non-motorway long-distance routes.,9976,7985,80.0421
Poland,PL,26,trunk_link,Connector ramps between trunk and other classes.,1083,694,64.0813
Poland,PL,26,primary_link,Connector ramps related to primary roads.,4784,3181,66.4925
Poland,PL,26,secondary_link,Connector ramps related to secondary roads.,2855,1751,61.3310
Poland,PL,26,tertiary_link,Connector ramps related to tertiary roads.,3170,1484,46.8139
Poland,PL,26,road,Temporary placeholder until precise class is surveyed.,14,1,7.1429
Lithuania,LT,27,service,"Access roads to premises, parking, and service areas.",205120,4444,2.1665
Lithuania,LT,27,residential,Roads primarily serving housing areas.,53586,11589,21.6269
Lithuania,LT,27,secondary,Secondary inter-settlement connectors in the network hierarchy.,15695,9765,62.2173
Lithuania,LT,27,tertiary,Tertiary connectors between local centers.,5053,1865,36.9088
Lithuania,LT,27,unclassified,Minor public through roads (not unknown class).,25870,3856,14.9053
Lithuania,LT,27,primary,Primary roads with high network importance below trunk/motorway.,11395,9295,81.5709
Lithuania,LT,27,living_street,Traffic-calmed shared street.,1706,1532,89.8007
Lithuania,LT,27,motorway,Controlled-access motorway corridor.,1171,1153,98.4629
Lithuania,LT,27,motorway_link,Motorway ramps/connectors.,839,132,15.7330
Lithuania,LT,27,trunk,Major non-motorway long-distance routes.,4840,4409,91.0950
Lithuania,LT,27,trunk_link,Connector ramps between trunk and other classes.,1524,846,55.5118
Lithuania,LT,27,primary_link,Connector ramps related to primary roads.,765,474,61.9608
Lithuania,LT,27,secondary_link,Connector ramps related to secondary roads.,321,118,36.7601
Lithuania,LT,27,tertiary_link,Connector ramps related to tertiary roads.,67,47,70.1493
Lithuania,LT,27,road,Temporary placeholder until precise class is surveyed.,0,0,0.0000
Estonia,EE,28,service,"Access roads to premises, parking, and service areas.",100504,1026,1.0209
Estonia,EE,28,residential,Roads primarily serving housing areas.,24301,3474,14.2957
Estonia,EE,28,secondary,Secondary inter-settlement connectors in the network hierarchy.,7021,5314,75.6872
Estonia,EE,28,tertiary,Tertiary connectors between local centers.,16779,8910,53.1021
Estonia,EE,28,unclassified,Minor public through roads (not unknown class).,22134,995,4.4953
Estonia,EE,28,primary,Primary roads with high network importance below trunk/motorway.,2481,2205,88.8755
Estonia,EE,28,living_street,Traffic-calmed shared street.,3683,532,14.4447
Estonia,EE,28,motorway,Controlled-access motorway corridor.,0,0,0.0000
Estonia,EE,28,motorway_link,Motorway ramps/connectors.,0,0,0.0000
Estonia,EE,28,trunk,Major non-motorway long-distance routes.,3139,2774,88.3721
Estonia,EE,28,trunk_link,Connector ramps between trunk and other classes.,704,281,39.9148
Estonia,EE,28,primary_link,Connector ramps related to primary roads.,239,138,57.7406
Estonia,EE,28,secondary_link,Connector ramps related to secondary roads.,607,318,52.3888
Estonia,EE,28,tertiary_link,Connector ramps related to tertiary roads.,760,276,36.3158
Estonia,EE,28,road,Temporary placeholder until precise class is surveyed.,12,0,0.0000
Cyprus,CY,29,service,"Access roads to premises, parking, and service areas.",28511,213,0.7471
Cyprus,CY,29,residential,Roads primarily serving housing areas.,56374,2882,5.1123
Cyprus,CY,29,secondary,Secondary inter-settlement connectors in the network hierarchy.,6660,3973,59.6547
Cyprus,CY,29,tertiary,Tertiary connectors between local centers.,6979,2782,39.8624
Cyprus,CY,29,unclassified,Minor public through roads (not unknown class).,8494,285,3.3553
Cyprus,CY,29,primary,Primary roads with high network importance below trunk/motorway.,4528,3136,69.2580
Cyprus,CY,29,living_street,Traffic-calmed shared street.,104,94,90.3846
Cyprus,CY,29,motorway,Controlled-access motorway corridor.,1065,1065,100.0000
Cyprus,CY,29,motorway_link,Motorway ramps/connectors.,643,197,30.6376
Cyprus,CY,29,trunk,Major non-motorway long-distance routes.,1381,1237,89.5728
Cyprus,CY,29,trunk_link,Connector ramps between trunk and other classes.,241,104,43.1535
Cyprus,CY,29,primary_link,Connector ramps related to primary roads.,185,38,20.5405
Cyprus,CY,29,secondary_link,Connector ramps related to secondary roads.,182,21,11.5385
Cyprus,CY,29,tertiary_link,Connector ramps related to tertiary roads.,59,11,18.6441
Cyprus,CY,29,road,Temporary placeholder until precise class is surveyed.,9,0,0.0000
Bulgaria,BG,30,service,"Access roads to premises, parking, and service areas.",105769,3886,3.6740
Bulgaria,BG,30,residential,Roads primarily serving housing areas.,197306,23816,12.0706
Bulgaria,BG,30,secondary,Secondary inter-settlement connectors in the network hierarchy.,8516,3694,43.3772
Bulgaria,BG,30,tertiary,Tertiary connectors between local centers.,17677,4697,26.5713
Bulgaria,BG,30,unclassified,Minor public through roads (not unknown class).,21191,1817,8.5744
Bulgaria,BG,30,primary,Primary roads with high network importance below trunk/motorway.,8295,6306,76.0217
Bulgaria,BG,30,living_street,Traffic-calmed shared street.,264,23,8.7121
Bulgaria,BG,30,motorway,Controlled-access motorway corridor.,1921,1911,99.4794
Bulgaria,BG,30,motorway_link,Motorway ramps/connectors.,1015,815,80.2956
Bulgaria,BG,30,trunk,Major non-motorway long-distance routes.,1558,1452,93.1964
Bulgaria,BG,30,trunk_link,Connector ramps between trunk and other classes.,816,361,44.2402
Bulgaria,BG,30,primary_link,Connector ramps related to primary roads.,1971,662,33.5870
Bulgaria,BG,30,secondary_link,Connector ramps related to secondary roads.,1177,177,15.0382
Bulgaria,BG,30,tertiary_link,Connector ramps related to tertiary roads.,752,107,14.2287
Bulgaria,BG,30,road,Temporary placeholder until precise class is surveyed.,7,0,0.0000
Italy,IT,31,service,"Access roads to premises, parking, and service areas.",1383663,23661,1.7100
Italy,IT,31,residential,Roads primarily serving housing areas.,1193732,148088,12.4055
Italy,IT,31,secondary,Secondary inter-settlement connectors in the network hierarchy.,226824,80916,35.6735
Italy,IT,31,tertiary,Tertiary connectors between local centers.,318244,81519,25.6153
Italy,IT,31,unclassified,Minor public through roads (not unknown class).,595655,45297,7.6046
Italy,IT,31,primary,Primary roads with high network importance below trunk/motorway.,137031,73696,53.7805
Italy,IT,31,living_street,Traffic-calmed shared street.,17517,1131,6.4566
Italy,IT,31,motorway,Controlled-access motorway corridor.,25661,24311,94.7391
Italy,IT,31,motorway_link,Motorway ramps/connectors.,17697,16343,92.3490
Italy,IT,31,trunk,Major non-motorway long-distance routes.,28573,23076,80.7616
Italy,IT,31,trunk_link,Connector ramps between trunk and other classes.,28159,12727,45.1969
Italy,IT,31,primary_link,Connector ramps related to primary roads.,14133,4215,29.8238
Italy,IT,31,secondary_link,Connector ramps related to secondary roads.,8475,2348,27.7050
Italy,IT,31,tertiary_link,Connector ramps related to tertiary roads.,9084,2170,23.8882
Italy,IT,31,road,Temporary placeholder until precise class is surveyed.,944,6,0.6356
Montenegro,ME,32,service,"Access roads to premises, parking, and service areas.",20941,217,1.0362
Montenegro,ME,32,residential,Roads primarily serving housing areas.,20524,582,2.8357
Montenegro,ME,32,secondary,Secondary inter-settlement connectors in the network hierarchy.,2364,1290,54.5685
Montenegro,ME,32,tertiary,Tertiary connectors between local centers.,1288,282,21.8944
Montenegro,ME,32,unclassified,Minor public through roads (not unknown class).,4505,114,2.5305
Montenegro,ME,32,primary,Primary roads with high network importance below trunk/motorway.,5826,4584,78.6818
Montenegro,ME,32,living_street,Traffic-calmed shared street.,32,2,6.2500
Montenegro,ME,32,motorway,Controlled-access motorway corridor.,250,240,96.0000
Montenegro,ME,32,motorway_link,Motorway ramps/connectors.,72,52,72.2222
Montenegro,ME,32,trunk,Major non-motorway long-distance routes.,50,47,94.0000
Montenegro,ME,32,trunk_link,Connector ramps between trunk and other classes.,3,2,66.6667
Montenegro,ME,32,primary_link,Connector ramps related to primary roads.,136,83,61.0294
Montenegro,ME,32,secondary_link,Connector ramps related to secondary roads.,33,3,9.0909
Montenegro,ME,32,tertiary_link,Connector ramps related to tertiary roads.,20,0,0.0000
Montenegro,ME,32,road,Temporary placeholder until precise class is surveyed.,0,0,0.0000
Macedonia,MK,33,service,"Access roads to premises, parking, and service areas.",12230,293,2.3957
Macedonia,MK,33,residential,Roads primarily serving housing areas.,34457,1194,3.4652
Macedonia,MK,33,secondary,Secondary inter-settlement connectors in the network hierarchy.,3845,1433,37.2692
Macedonia,MK,33,tertiary,Tertiary connectors between local centers.,3690,2056,55.7182
Macedonia,MK,33,unclassified,Minor public through roads (not unknown class).,5144,389,7.5622
Macedonia,MK,33,primary,Primary roads with high network importance below trunk/motorway.,1049,705,67.2069
Macedonia,MK,33,living_street,Traffic-calmed shared street.,4693,908,19.3480
Macedonia,MK,33,motorway,Controlled-access motorway corridor.,1169,1034,88.4517
Macedonia,MK,33,motorway_link,Motorway ramps/connectors.,520,154,29.6154
Macedonia,MK,33,trunk,Major non-motorway long-distance routes.,596,517,86.7450
Macedonia,MK,33,trunk_link,Connector ramps between trunk and other classes.,233,83,35.6223
Macedonia,MK,33,primary_link,Connector ramps related to primary roads.,139,44,31.6547
Macedonia,MK,33,secondary_link,Connector ramps related to secondary roads.,142,17,11.9718
Macedonia,MK,33,tertiary_link,Connector ramps related to tertiary roads.,309,116,37.5405
Macedonia,MK,33,road,Temporary placeholder until precise class is surveyed.,3,0,0.0000
Latvia,LV,34,service,"Access roads to premises, parking, and service areas.",153743,3021,1.9650
Latvia,LV,34,residential,Roads primarily serving housing areas.,30069,6932,23.0536
Latvia,LV,34,secondary,Secondary inter-settlement connectors in the network hierarchy.,9088,3470,38.1822
Latvia,LV,34,tertiary,Tertiary connectors between local centers.,6594,3343,50.6976
Latvia,LV,34,unclassified,Minor public through roads (not unknown class).,38887,1429,3.6747
Latvia,LV,34,primary,Primary roads with high network importance below trunk/motorway.,6741,4503,66.8002
Latvia,LV,34,living_street,Traffic-calmed shared street.,12519,5645,45.0915
Latvia,LV,34,motorway,Controlled-access motorway corridor.,12,10,83.3333
Latvia,LV,34,motorway_link,Motorway ramps/connectors.,6,1,16.6667
Latvia,LV,34,trunk,Major non-motorway long-distance routes.,4316,3850,89.2030
Latvia,LV,34,trunk_link,Connector ramps between trunk and other classes.,634,426,67.1924
Latvia,LV,34,primary_link,Connector ramps related to primary roads.,226,168,74.3363
Latvia,LV,34,secondary_link,Connector ramps related to secondary roads.,186,107,57.5269
Latvia,LV,34,tertiary_link,Connector ramps related to tertiary roads.,140,62,44.2857
Latvia,LV,34,road,Temporary placeholder until precise class is surveyed.,2,0,0.0000
Faroe Islands,FO,35,service,"Access roads to premises, parking, and service areas.",9304,158,1.6982
Faroe Islands,FO,35,residential,Roads primarily serving housing areas.,2344,521,22.2270
Faroe Islands,FO,35,secondary,Secondary inter-settlement connectors in the network hierarchy.,398,231,58.0402
Faroe Islands,FO,35,tertiary,Tertiary connectors between local centers.,503,236,46.9185
Faroe Islands,FO,35,unclassified,Minor public through roads (not unknown class).,131,23,17.5573
Faroe Islands,FO,35,primary,Primary roads with high network importance below trunk/motorway.,544,484,88.9706
Faroe Islands,FO,35,living_street,Traffic-calmed shared street.,0,0,0.0000
Faroe Islands,FO,35,motorway,Controlled-access motorway corridor.,0,0,0.0000
Faroe Islands,FO,35,motorway_link,Motorway ramps/connectors.,0,0,0.0000
Faroe Islands,FO,35,trunk,Major non-motorway long-distance routes.,0,0,0.0000
Faroe Islands,FO,35,trunk_link,Connector ramps between trunk and other classes.,0,0,0.0000
Faroe Islands,FO,35,primary_link,Connector ramps related to primary roads.,0,0,0.0000
Faroe Islands,FO,35,secondary_link,Connector ramps related to secondary roads.,1,1,100.0000
Faroe Islands,FO,35,tertiary_link,Connector ramps related to tertiary roads.,0,0,0.0000
Faroe Islands,FO,35,road,Temporary placeholder until precise class is surveyed.,1,0,0.0000
Slovenia,SI,36,service,"Access roads to premises, parking, and service areas.",120916,1800,1.4886
Slovenia,SI,36,residential,Roads primarily serving housing areas.,47780,7119,14.8995
Slovenia,SI,36,secondary,Secondary inter-settlement connectors in the network hierarchy.,9381,5557,59.2368
Slovenia,SI,36,tertiary,Tertiary connectors between local centers.,11566,4888,42.2618
Slovenia,SI,36,unclassified,Minor public through roads (not unknown class).,49636,2724,5.4880
Slovenia,SI,36,primary,Primary roads with high network importance below trunk/motorway.,4997,3602,72.0832
Slovenia,SI,36,living_street,Traffic-calmed shared street.,3052,259,8.4862
Slovenia,SI,36,motorway,Controlled-access motorway corridor.,2306,2299,99.6964
Slovenia,SI,36,motorway_link,Motorway ramps/connectors.,1312,698,53.2012
Slovenia,SI,36,trunk,Major non-motorway long-distance routes.,391,382,97.6982
Slovenia,SI,36,trunk_link,Connector ramps between trunk and other classes.,256,140,54.6875
Slovenia,SI,36,primary_link,Connector ramps related to primary roads.,320,191,59.6875
Slovenia,SI,36,secondary_link,Connector ramps related to secondary roads.,259,133,51.3514
Slovenia,SI,36,tertiary_link,Connector ramps related to tertiary roads.,276,169,61.2319
Slovenia,SI,36,road,Temporary placeholder until precise class is surveyed.,39,0,0.0000
Greece,GR,37,service,"Access roads to premises, parking, and service areas.",258730,5653,2.1849
Greece,GR,37,residential,Roads primarily serving housing areas.,377281,28835,7.6428
Greece,GR,37,secondary,Secondary inter-settlement connectors in the network hierarchy.,43261,16457,38.0412
Greece,GR,37,tertiary,Tertiary connectors between local centers.,60985,13505,22.1448
Greece,GR,37,unclassified,Minor public through roads (not unknown class).,84521,5021,5.9405
Greece,GR,37,primary,Primary roads with high network importance below trunk/motorway.,25439,15431,60.6588
Greece,GR,37,living_street,Traffic-calmed shared street.,6366,299,4.6968
Greece,GR,37,motorway,Controlled-access motorway corridor.,10408,9294,89.2967
Greece,GR,37,motorway_link,Motorway ramps/connectors.,5627,2638,46.8811
Greece,GR,37,trunk,Major non-motorway long-distance routes.,7030,5237,74.4950
Greece,GR,37,trunk_link,Connector ramps between trunk and other classes.,2047,764,37.3229
Greece,GR,37,primary_link,Connector ramps related to primary roads.,2802,601,21.4490
Greece,GR,37,secondary_link,Connector ramps related to secondary roads.,2511,446,17.7618
Greece,GR,37,tertiary_link,Connector ramps related to tertiary roads.,1344,179,13.3185
Greece,GR,37,road,Temporary placeholder until precise class is surveyed.,2,0,0.0000
Portugal,PT,38,service,"Access roads to premises, parking, and service areas.",180218,4820,2.6745
Portugal,PT,38,residential,Roads primarily serving housing areas.,406095,31993,7.8782
Portugal,PT,38,secondary,Secondary inter-settlement connectors in the network hierarchy.,44303,12170,27.4699
Portugal,PT,38,tertiary,Tertiary connectors between local centers.,75631,11329,14.9793
Portugal,PT,38,unclassified,Minor public through roads (not unknown class).,69110,3801,5.4999
Portugal,PT,38,primary,Primary roads with high network importance below trunk/motorway.,48965,16123,32.9276
Portugal,PT,38,living_street,Traffic-calmed shared street.,4221,536,12.6984
Portugal,PT,38,motorway,Controlled-access motorway corridor.,11056,9761,88.2869
Portugal,PT,38,motorway_link,Motorway ramps/connectors.,7710,2996,38.8586
Portugal,PT,38,trunk,Major non-motorway long-distance routes.,9070,6109,67.3539
Portugal,PT,38,trunk_link,Connector ramps between trunk and other classes.,4716,1405,29.7922
Portugal,PT,38,primary_link,Connector ramps related to primary roads.,4824,604,12.5207
Portugal,PT,38,secondary_link,Connector ramps related to secondary roads.,2041,232,11.3670
Portugal,PT,38,tertiary_link,Connector ramps related to tertiary roads.,2608,204,7.8221
Portugal,PT,38,road,Temporary placeholder until precise class is surveyed.,11,0,0.0000
Albania,AL,39,service,"Access roads to premises, parking, and service areas.",47042,723,1.5369
Albania,AL,39,residential,Roads primarily serving housing areas.,53396,2639,4.9423
Albania,AL,39,secondary,Secondary inter-settlement connectors in the network hierarchy.,3774,2296,60.8373
Albania,AL,39,tertiary,Tertiary connectors between local centers.,4273,1241,29.0428
Albania,AL,39,unclassified,Minor public through roads (not unknown class).,7995,598,7.4797
Albania,AL,39,primary,Primary roads with high network importance below trunk/motorway.,3292,2032,61.7254
Albania,AL,39,living_street,Traffic-calmed shared street.,3454,34,0.9844
Albania,AL,39,motorway,Controlled-access motorway corridor.,612,546,89.2157
Albania,AL,39,motorway_link,Motorway ramps/connectors.,244,96,39.3443
Albania,AL,39,trunk,Major non-motorway long-distance routes.,825,730,88.4848
Albania,AL,39,trunk_link,Connector ramps between trunk and other classes.,235,211,89.7872
Albania,AL,39,primary_link,Connector ramps related to primary roads.,233,70,30.0429
Albania,AL,39,secondary_link,Connector ramps related to secondary roads.,102,21,20.5882
Albania,AL,39,tertiary_link,Connector ramps related to tertiary roads.,14,5,35.7143
Albania,AL,39,road,Temporary placeholder until precise class is surveyed.,1,0,0.0000
Ukraine (with Crimea),UA,40,service,"Access roads to premises, parking, and service areas.",581537,17016,2.9260
Ukraine (with Crimea),UA,40,residential,Roads primarily serving housing areas.,531284,32121,6.0459
Ukraine (with Crimea),UA,40,secondary,Secondary inter-settlement connectors in the network hierarchy.,32579,13896,42.6532
Ukraine (with Crimea),UA,40,tertiary,Tertiary connectors between local centers.,78200,14156,18.1023
Ukraine (with Crimea),UA,40,unclassified,Minor public through roads (not unknown class).,155073,4728,3.0489
Ukraine (with Crimea),UA,40,primary,Primary roads with high network importance below trunk/motorway.,25281,15218,60.1954
Ukraine (with Crimea),UA,40,living_street,Traffic-calmed shared street.,11506,667,5.7970
Ukraine (with Crimea),UA,40,motorway,Controlled-access motorway corridor.,214,211,98.5981
Ukraine (with Crimea),UA,40,motorway_link,Motorway ramps/connectors.,42,4,9.5238
Ukraine (with Crimea),UA,40,trunk,Major non-motorway long-distance routes.,16433,13788,83.9043
Ukraine (with Crimea),UA,40,trunk_link,Connector ramps between trunk and other classes.,4058,1140,28.0927
Ukraine (with Crimea),UA,40,primary_link,Connector ramps related to primary roads.,2281,632,27.7071
Ukraine (with Crimea),UA,40,secondary_link,Connector ramps related to secondary roads.,1149,323,28.1114
Ukraine (with Crimea),UA,40,tertiary_link,Connector ramps related to tertiary roads.,1014,135,13.3136
Ukraine (with Crimea),UA,40,road,Temporary placeholder until precise class is surveyed.,552,1,0.1812
Georgia,GE,41,service,"Access roads to premises, parking, and service areas.",59627,412,0.6910
Georgia,GE,41,residential,Roads primarily serving housing areas.,83104,1996,2.4018
Georgia,GE,41,secondary,Secondary inter-settlement connectors in the network hierarchy.,5824,2595,44.5570
Georgia,GE,41,tertiary,Tertiary connectors between local centers.,10110,1338,13.2344
Georgia,GE,41,unclassified,Minor public through roads (not unknown class).,16747,275,1.6421
Georgia,GE,41,primary,Primary roads with high network importance below trunk/motorway.,3369,1947,57.7916
Georgia,GE,41,living_street,Traffic-calmed shared street.,6146,71,1.1552
Georgia,GE,41,motorway,Controlled-access motorway corridor.,864,821,95.0231
Georgia,GE,41,motorway_link,Motorway ramps/connectors.,515,66,12.8155
Georgia,GE,41,trunk,Major non-motorway long-distance routes.,2385,1876,78.6583
Georgia,GE,41,trunk_link,Connector ramps between trunk and other classes.,322,48,14.9068
Georgia,GE,41,primary_link,Connector ramps related to primary roads.,268,39,14.5522
Georgia,GE,41,secondary_link,Connector ramps related to secondary roads.,233,26,11.1588
Georgia,GE,41,tertiary_link,Connector ramps related to tertiary roads.,181,11,6.0773
Georgia,GE,41,road,Temporary placeholder until precise class is surveyed.,6,0,0.0000
Bosnia-Herzegovina,BA,42,service,"Access roads to premises, parking, and service areas.",76722,409,0.5331
Bosnia-Herzegovina,BA,42,residential,Roads primarily serving housing areas.,96532,2469,2.5577
Bosnia-Herzegovina,BA,42,secondary,Secondary inter-settlement connectors in the network hierarchy.,4518,1585,35.0819
Bosnia-Herzegovina,BA,42,tertiary,Tertiary connectors between local centers.,4623,1078,23.3182
Bosnia-Herzegovina,BA,42,unclassified,Minor public through roads (not unknown class).,18121,442,2.4392
Bosnia-Herzegovina,BA,42,primary,Primary roads with high network importance below trunk/motorway.,6323,3356,53.0761
Bosnia-Herzegovina,BA,42,living_street,Traffic-calmed shared street.,5478,183,3.3406
Bosnia-Herzegovina,BA,42,motorway,Controlled-access motorway corridor.,797,598,75.0314
Bosnia-Herzegovina,BA,42,motorway_link,Motorway ramps/connectors.,461,217,47.0716
Bosnia-Herzegovina,BA,42,trunk,Major non-motorway long-distance routes.,218,208,95.4128
Bosnia-Herzegovina,BA,42,trunk_link,Connector ramps between trunk and other classes.,74,23,31.0811
Bosnia-Herzegovina,BA,42,primary_link,Connector ramps related to primary roads.,669,144,21.5247
Bosnia-Herzegovina,BA,42,secondary_link,Connector ramps related to secondary roads.,95,7,7.3684
Bosnia-Herzegovina,BA,42,tertiary_link,Connector ramps related to tertiary roads.,60,10,16.6667
Bosnia-Herzegovina,BA,42,road,Temporary placeholder until precise class is surveyed.,10,0,0.0000
Moldova,MD,43,service,"Access roads to premises, parking, and service areas.",62508,764,1.2222
Moldova,MD,43,residential,Roads primarily serving housing areas.,78424,2629,3.3523
Moldova,MD,43,secondary,Secondary inter-settlement connectors in the network hierarchy.,3867,1149,29.7130
Moldova,MD,43,tertiary,Tertiary connectors between local centers.,5698,725,12.7238
Moldova,MD,43,unclassified,Minor public through roads (not unknown class).,2830,70,2.4735
Moldova,MD,43,primary,Primary roads with high network importance below trunk/motorway.,3722,2456,65.9860
Moldova,MD,43,living_street,Traffic-calmed shared street.,29183,265,0.9081
Moldova,MD,43,motorway,Controlled-access motorway corridor.,0,0,0.0000
Moldova,MD,43,motorway_link,Motorway ramps/connectors.,0,0,0.0000
Moldova,MD,43,trunk,Major non-motorway long-distance routes.,1448,1003,69.2680
Moldova,MD,43,trunk_link,Connector ramps between trunk and other classes.,258,57,22.0930
Moldova,MD,43,primary_link,Connector ramps related to primary roads.,267,51,19.1011
Moldova,MD,43,secondary_link,Connector ramps related to secondary roads.,66,3,4.5455
Moldova,MD,43,tertiary_link,Connector ramps related to tertiary roads.,40,3,7.5000
Moldova,MD,43,road,Temporary placeholder until precise class is surveyed.,8,0,0.0000
Turkey,TR,44,service,"Access roads to premises, parking, and service areas.",223234,2156,0.9658
Turkey,TR,44,residential,Roads primarily serving housing areas.,1144501,9666,0.8446
Turkey,TR,44,secondary,Secondary inter-settlement connectors in the network hierarchy.,53587,5995,11.1874
Turkey,TR,44,tertiary,Tertiary connectors between local centers.,176673,6376,3.6089
Turkey,TR,44,unclassified,Minor public through roads (not unknown class).,128281,1116,0.8700
Turkey,TR,44,primary,Primary roads with high network importance below trunk/motorway.,26508,6462,24.3775
Turkey,TR,44,living_street,Traffic-calmed shared street.,68062,1051,1.5442
Turkey,TR,44,motorway,Controlled-access motorway corridor.,5257,4758,90.5079
Turkey,TR,44,motorway_link,Motorway ramps/connectors.,5350,2032,37.9813
Turkey,TR,44,trunk,Major non-motorway long-distance routes.,31602,12573,39.7855
Turkey,TR,44,trunk_link,Connector ramps between trunk and other classes.,19250,4364,22.6701
Turkey,TR,44,primary_link,Connector ramps related to primary roads.,8411,1531,18.2024
Turkey,TR,44,secondary_link,Connector ramps related to secondary roads.,6181,614,9.9337
Turkey,TR,44,tertiary_link,Connector ramps related to tertiary roads.,5161,369,7.1498
Turkey,TR,44,road,Temporary placeholder until precise class is surveyed.,500,0,0.0000
